,Order Id,AWB Number,Item Price(Per Qty.),Order Qty,Total weight as per X (KG),Weight (g),Weight slab as per X (KG),Total weight as per Courier Company (KG),Weight slab charged by Courier Company (KG),Zone,Delivery Zone charged by Courier Company,Expected Charge as per X (Rs.),Charges Billed by Courier Company (Rs.) ,Difference Between Expected Charges and Billed Charges (Rs.),correct values,undercharged,overcharged
78,2001821284,1091120962515,1211,2,0.177,177,0.5,0.2,0.5,B,D,33.0,45.4,-12.399999999999999,0,12.399999999999999,0.0
79,2001821679,1091121031745,470,1,0.165,165,0.5,0.2,0.5,B,D,33.0,52.4,-19.4,0,19.4,0.0
80,2001821742,1091121034114,603,1,0.24,240,0.5,0.15,0.5,B,D,33.0,45.4,-12.399999999999999,0,12.399999999999999,0.0
81,2001821750,1091121034350,1284,3,0.755,755,1.0,0.8,1.0,B,D,61.3,90.2,-28.900000000000006,0,28.900000000000006,0.0
82,2001821766,1091121034641,473,2,0.24,120,0.5,0.2,0.5,B,D,33.0,63.4,-30.4,0,30.4,0.0
83,2001821995,1091121183730,484,2,0.477,477,0.5,0.5,0.5,B,D,33.0,45.4,-12.399999999999999,0,12.399999999999999,0.0
84,2001821502,1091121185863,3431,5,0.558,334,1.0,0.6,1.0,B,D,61.3,90.2,-28.900000000000006,0,28.900000000000006,0.0
85,2001822466,1091121305541,9019,10,1.376,352,1.5,1.1,1.5,B,D,89.6,135.0,-45.400000000000006,0,45.400000000000006,0.0
86,2001820690,1091121306101,403,1,0.065,65,0.5,0.15,0.5,B,D,33.0,62.4,-29.4,0,29.4,0.0
87,2001811604,1091118004245,2003,4,0.721,481,1.0,0.8,1.0,E,B,112.1,67.3,44.8,0,0.0,44.8
88,2001819252,1091120352712,869,3,0.27,270,0.5,0.3,0.5,E,B,56.6,33.0,23.6,0,0.0,23.6
89,2001827036,1091122418320,3640,10,2.176,2039,2.5,1.6,2.0,E,B,278.6,117.9,160.70000000000002,0,0.0,160.70000000000002
90,2001806304,1091117222360,1082,3,0.5,500,0.5,0.71,1.0,B,D,33.0,90.2,-57.2,0,57.2,0.0
91,2001806768,1091117227116,2133,4,0.84,210,1.0,1.02,1.5,B,D,61.3,146.0,-84.7,0,84.7,0.0
92,2001806823,1091117228133,233,1,0.127,127,0.5,0.59,1.0,B,D,33.0,97.2,-64.2,0,64.2,0.0
93,2001806828,1091117228192,1082,3,0.5,500,0.5,0.69,1.0,B,D,33.0,100.2,-67.2,0,67.2,0.0
94,2001806968,1091117229183,1082,3,0.5,500,0.5,0.68,1.0,B,D,33.0,90.2,-57.2,0,57.2,0.0
95,2001807328,1091117324346,233,1,0.49,490,0.5,2.28,2.5,B,D,33.0,235.6,-202.6,0,202.6,0.0
96,2001807785,1091117326424,1082,3,0.5,500,0.5,0.68,1.0,B,D,33.0,90.2,-57.2,0,57.2,0.0
97,2001807852,1091117326925,1082,3,0.5,500,0.5,0.74,1.0,B,D,33.0,90.2,-57.2,0,57.2,0.0
